input_doi,matched_doi,confidence,matched_doi_type,matched_in_openalex
10.48550/arxiv.2303.05746,10.1137/22m150397x,0.8503,journal-article,FALSE
10.48550/arxiv.2110.03037,10.1109/icra46639.2022.9812068,1,proceedings-article,TRUE
10.48550/arxiv.2009.01533,10.1039/d0nr05852a,0.9554,journal-article,FALSE
10.48550/arxiv.1708.07070,10.1111/sjos.12494,0.9875,journal-article,TRUE
10.48550/arxiv.1409.8334,10.1007/s00233-023-10355-0,0.875,journal-article,TRUE
10.48550/arxiv.2207.03218,10.3233/asy-231828,0.9958,journal-article,TRUE
10.48550/arxiv.1511.06750,10.1214/18-ejs1430,0.9708,journal-article,TRUE
10.48550/arxiv.1402.2492,10.2139/ssrn.2394063,1,journal-article,TRUE
10.48550/arxiv.hep-ph/9906427,10.22323/1.002.0010,1,proceedings-article,FALSE
10.48550/arxiv.2504.16630,10.2139/ssrn.4072421,0.8688,journal-article,FALSE
10.48550/arxiv.1901.02808,10.1007/978-3-030-20981-0_4,1,book-chapter,TRUE
10.48550/arxiv.2002.05970,10.1287/opre.2020.1984,1,journal-article,TRUE
10.48550/arxiv.2401.17736,10.1007/978-3-031-53827-8_27,1,book-chapter,FALSE
10.48550/arxiv.2206.12475,10.1142/s2661339522500123,1,journal-article,TRUE
10.48550/arxiv.2104.00468,10.3390/math9121391,0.8849,journal-article,FALSE
10.48550/arxiv.2401.08970,10.3847/2041-8213/ad1e6c,0.9906,journal-article,TRUE
10.48550/arxiv.2109.02184,10.1609/aaai.v36i5.20404,0.9001,journal-article,FALSE
10.48550/arxiv.1004.2372,10.1145/1841909.1841911,1,journal-article,TRUE
10.48550/arxiv.0812.2047,10.1016/j.jde.2009.07.007,1,journal-article,TRUE
10.48550/arxiv.1902.04756,10.1088/1674-1137/abb4c8,0.8858,journal-article,FALSE
10.48550/arxiv.1809.06488,10.1145/3269206.3272012,1,proceedings-article,TRUE
10.48550/arxiv.2207.01599,10.1007/978-3-031-31420-9_3,1,book-chapter,TRUE
10.48550/arxiv.math/0702870,10.1007/s00209-007-0153-0,1,journal-article,TRUE
10.48550/arxiv.2111.03928,10.1109/jphot.2021.3126873,1,journal-article,TRUE
10.48550/arxiv.1806.02877,10.1109/wifs.2018.8630787,0.9373,proceedings-article,FALSE
10.48550/arxiv.2405.01979,10.1109/tcomm.2025.3558504,1,journal-article,FALSE
10.48550/arxiv.1704.05598,10.1080/03605302.2018.1446163,1,journal-article,TRUE
10.48550/arxiv.2110.07485,10.1016/j.spasta.2022.100658,1,journal-article,TRUE
10.48550/arxiv.2102.01580,10.1016/j.jcp.2022.111262,1,journal-article,TRUE
10.48550/arxiv.1901.09569,10.1007/s10035-019-0914-6,1,journal-article,TRUE
10.48550/arxiv.2403.06967,10.1137/24m1645681,1,journal-article,FALSE
10.48550/arxiv.0711.0344,10.1007/978-3-540-77442-6_3,0.9758,book-chapter,FALSE
10.48550/arxiv.math/9407209,10.1007/s002080050050,0.9875,journal-article,TRUE
10.48550/arxiv.2112.02406,10.1016/j.ins.2024.120558,0.9719,journal-article,TRUE
10.48550/arxiv.2410.20987,10.1103/physrevb.111.075125,0.997,journal-article,TRUE
10.48550/arxiv.1908.05800,10.1137/19m129783x,1,journal-article,TRUE
10.48550/arxiv.0910.0098,10.1080/00927870903386460,1,journal-article,TRUE
10.48550/arxiv.1105.3266,10.3182/20110828-6-it-1002.01430,1,journal-article,TRUE
10.48550/arxiv.1808.02051,10.1016/j.ejc.2020.103092,1,journal-article,FALSE
10.48550/arxiv.1509.00669,10.1007/s00026-018-0410-4,0.9875,journal-article,FALSE
10.48550/arxiv.0706.2537,10.1088/0256-307x/25/12/015,0.9864,journal-article,TRUE
10.48550/arxiv.2406.13316,10.1109/icip51287.2024.10647654,1,proceedings-article,TRUE
10.48550/arxiv.physics/0506224,10.2139/ssrn.755384,1,journal-article,TRUE
10.48550/arxiv.2206.06931,10.1109/cvpr52688.2022.00319,1,proceedings-article,TRUE
10.48550/arxiv.2002.08611,10.1109/jsac.2020.3000809,0.954,journal-article,TRUE
10.48550/arxiv.2306.04959,10.1145/3637528.3671545,0.9654,proceedings-article,FALSE
10.48550/arxiv.2307.14171,10.1016/j.ultramic.2023.113829,1,journal-article,TRUE
10.48550/arxiv.1604.01334,10.1016/j.aim.2017.08.022,1,journal-article,TRUE
10.48550/arxiv.2007.09166,10.12775/tmna.2020.039,1,journal-article,TRUE
10.48550/arxiv.1912.09245,10.3389/fphot.2022.932944,0.9383,journal-article,FALSE
10.48550/arxiv.2306.16422,10.1007/s00245-024-10184-9,1,journal-article,FALSE
10.48550/arxiv.2110.11791,10.4171/pm/2069,1,journal-article,TRUE
10.48550/arxiv.0909.3790,10.1007/978-3-642-14455-4_8,0.8828,book-chapter,FALSE
10.48550/arxiv.1206.0787,10.1007/s10688-015-0099-7,0.9688,journal-article,FALSE
10.48550/arxiv.2010.03746,10.18653/v1/2020.emnlp-main.372,1,proceedings-article,TRUE
10.48550/arxiv.2406.19524,10.1002/sim.70029,1,journal-article,TRUE
