input_doi,matched_doi
10.48550/arxiv.1311.0005,10.7566/jpsj.83.064003
10.48550/arxiv.2307.12444,10.1007/s10208-024-09681-8
10.48550/arxiv.quant-ph/0506222,10.1103/physreva.73.012301
10.48550/arxiv.2010.02757,10.1093/mnras/staa3119
10.48550/arxiv.1005.3321,10.1063/1.3479332
10.48550/arxiv.gr-qc/0505085,10.1103/physrevd.72.084023
10.48550/arxiv.2010.07152,10.1145/3442381.3449898
10.48550/arxiv.1211.2660,10.1088/0264-9381/30/7/075016
10.48550/arxiv.quant-ph/0307078,10.1103/physreva.68.062104
10.48550/arxiv.0711.3397,10.1103/physrevd.77.054023
10.48550/arxiv.0806.1228,10.1103/physrevb.78.075433
10.48550/arxiv.hep-ph/0108036,10.1103/physrevlett.87.172003
10.48550/arxiv.2108.00627,10.1103/physreve.105.044604
10.48550/arxiv.astro-ph/0507478,10.1086/496941
10.48550/arxiv.1901.05717,10.1002/spe.2766
10.48550/arxiv.2011.00451,10.1109/jsyst.2021.3139449
10.48550/arxiv.1809.09562,10.1070/rm9835
10.48550/arxiv.1204.1944,10.1088/0004-637x/756/1/94
10.48550/arxiv.2005.01467,10.1145/3304103
10.48550/arxiv.2407.09198,10.1145/3610224
10.48550/arxiv.hep-th/9202036,10.1007/bf02097022
10.48550/arxiv.1803.02554,10.22323/1.318.0088
10.48550/arxiv.1910.05737,10.1103/physrevapplied.13.064013
10.48550/arxiv.1511.08813,10.1140/epja/i2016-16052-y
10.48550/arxiv.0911.4519,10.1364/ol.35.001656
10.48550/arxiv.1703.01055,
10.48550/arxiv.1003.1306,10.1007/jhep05(2010)036
10.48550/arxiv.1904.04310,10.1093/mnras/stz993
10.48550/arxiv.2007.12113,10.1103/physreve.102.042128
10.48550/arxiv.2305.18469,10.24963/ijcai.2023/519
10.48550/arxiv.hep-ph/9811328,10.1016/s0370-2693(99)00284-1
10.48550/arxiv.gr-qc/9904025,10.1088/0264-9381/17/16/302
10.48550/arxiv.2203.09806,10.1093/mnras/stac756
10.48550/arxiv.0910.1480,10.1111/j.1365-2966.2009.16117.x
10.48550/arxiv.1611.08041,10.1063/1.4962166
10.48550/arxiv.1901.07803,10.1007/978-3-030-31593-1_4
10.48550/arxiv.1806.02312,10.1007/jhep11(2018)164
10.48550/arxiv.hep-th/9710053,10.1016/s0550-3213(98)00139-4
10.48550/arxiv.0805.3257,10.1086/590243
10.48550/arxiv.1306.5341,10.1088/1367-2630/15/12/123014
10.48550/arxiv.1306.0840,10.1103/physrevb.88.235133
10.48550/arxiv.1409.5645,10.1016/j.jcp.2015.04.055
10.48550/arxiv.nucl-ex/0409003,
10.48550/arxiv.2203.11974,10.1090/proc/16189
10.48550/arxiv.0911.3337,10.1103/physrevb.82.014533
10.48550/arxiv.2005.13876,10.1145/3347451.3356731
10.48550/arxiv.math/0002252,10.1007/bf02984107
10.48550/arxiv.1803.00046,10.1080/00218464.2018.1479258
10.48550/arxiv.2105.02397,10.1103/physrevd.103.094038
10.48550/arxiv.1802.02195,10.1609/aaai.v33i01.33014846
10.48550/arxiv.1803.03451,10.1007/978-3-030-00473-6_36
10.48550/arxiv.0707.1399,10.1111/j.1745-3933.2007.00360.x
10.48550/arxiv.1901.03180,10.1051/epjconf/201919701001
10.48550/arxiv.nucl-th/9807056,10.1016/s0370-2693(98)01105-8
10.48550/arxiv.1511.08468,10.2140/ant.2016.10.1949
10.48550/arxiv.2204.01791,10.1103/prxquantum.3.030335
10.48550/arxiv.2206.13698,10.1103/physrevlett.130.166902
10.48550/arxiv.2202.05699,10.1093/pasj/psac017
10.48550/arxiv.hep-ph/9607362,10.1103/physrevd.56.4226
10.48550/arxiv.1809.02586,10.1088/1361-6544/abb9f9
10.48550/arxiv.1308.3425,10.1103/physrevb.88.161404
10.48550/arxiv.solv-int/9502001,10.1088/0305-4470/28/11/007
10.48550/arxiv.1912.02778,10.1103/physrevlett.124.150501
10.48550/arxiv.2403.15783,10.1137/24m1649824
10.48550/arxiv.1504.08026,10.1017/etds.2015.117
10.48550/arxiv.2011.10703,10.1112/s0010437x2200745x
10.48550/arxiv.1711.05982,10.1088/1742-6596/934/1/012042
10.48550/arxiv.0911.3136,10.1103/physrevlett.104.057006
10.48550/arxiv.2312.04223,10.1145/3613905.3636286
10.48550/arxiv.1601.05441,10.1103/physrevd.93.096010
10.48550/arxiv.1901.03712,10.1093/mnras/stz190
10.48550/arxiv.1605.07053,10.1016/j.bpj.2016.09.007
10.48550/arxiv.2105.11057,10.1063/5.0042784
10.48550/arxiv.2303.12174,10.1103/physrevlett.131.189601
10.48550/arxiv.1905.05764,10.1007/jhep05(2020)042
10.48550/arxiv.1104.1851,10.1088/1475-7516/2012/04/017
10.48550/arxiv.nucl-th/9804027,10.1103/physrevc.58.1804
10.48550/arxiv.1709.02263,10.1017/jfm.2018.288
10.48550/arxiv.1708.03123,10.1103/physrevb.96.054438
10.48550/arxiv.1402.6988,10.1209/0295-5075/106/36003
10.48550/arxiv.cond-mat/0607766,10.1063/1.2403870
10.48550/arxiv.1405.2173,10.1088/1742-6596/545/1/012001
10.48550/arxiv.2107.10928,10.26226/m.62a9d1ee9deaf4fdb6b3fda2
10.48550/arxiv.1206.5000,10.1088/0004-637x/765/2/104
10.48550/arxiv.quant-ph/0110079,10.1103/physreva.67.024302
10.48550/arxiv.2401.16668,10.1145/3613904.3642317
10.48550/arxiv.1901.05218,10.1088/1681-7575/ab29a5
10.48550/arxiv.2410.16920,10.1103/physrevd.111.064016
10.48550/arxiv.1412.6827,10.1088/0034-4885/78/6/066501
10.48550/arxiv.2002.02364,10.1080/00032719.2020.1716241
10.48550/arxiv.2005.04080,10.1103/physreva.101.063820
10.48550/arxiv.0706.1673,10.1088/0253-6102/49/1/33
10.48550/arxiv.hep-ph/9508349,10.1063/1.49273
10.48550/arxiv.2008.01332,10.1145/3406971.3406985
10.48550/arxiv.1612.09038,10.1103/physrevd.95.082003
10.48550/arxiv.1702.06561,
10.48550/arxiv.hep-ex/0507049,10.1063/1.2122209
10.48550/arxiv.2305.01687,10.1016/j.physletb.2023.138012
10.48550/arxiv.astro-ph/9707177,10.1093/mnras/291.3.505
10.48550/arxiv.1808.08585,10.1371/journal.pone.0202202
10.48550/arxiv.2205.00127,10.1109/cog57401.2023.10333219
10.48550/arxiv.nucl-th/0510060,10.1088/1742-6596/20/1/023
10.48550/arxiv.1104.5605,10.4064/bc94-0-2
10.48550/arxiv.0705.3135,10.1063/1.2918267
10.48550/arxiv.1410.7091,10.1007/978-3-319-13881-7_21
10.48550/arxiv.2407.08357,10.1103/physrevb.110.125423
10.48550/arxiv.1009.0212,10.1142/9789814335614_0024
10.48550/arxiv.2203.05517,10.1103/physreva.107.012609
10.48550/arxiv.1507.01947,10.1103/physrevlett.115.205701
10.48550/arxiv.1507.01414,10.1103/physrevd.92.065021
10.48550/arxiv.cond-mat/9805209,10.1103/physrevlett.81.216
10.48550/arxiv.1009.1815,10.1103/physrevb.82.184416
10.48550/arxiv.1402.2725,10.1063/1.4868219
10.48550/arxiv.2408.13966,10.1007/978-3-031-36272-9_7
10.48550/arxiv.cond-mat/9605196,10.1103/physrevlett.77.4632
10.48550/arxiv.2204.06737,10.4204/eptcs.358.20
10.48550/arxiv.1404.2155,
10.48550/arxiv.2101.03737,10.1145/3437963.3441753
10.48550/arxiv.2209.00929,10.1103/physreve.106.064608
10.48550/arxiv.1208.2964,10.1007/jhep01(2014)132
10.48550/arxiv.1702.03149,10.1007/s11207-017-1068-5
10.48550/arxiv.2412.15605,
10.48550/arxiv.astro-ph/0107518,10.1086/324338
10.48550/arxiv.2211.00064,10.4236/jmp.2023.141003
10.48550/arxiv.2202.07498,10.23919/eusipco.2017.8081342
10.48550/arxiv.1403.2948,10.1021/nl501106v
10.48550/arxiv.hep-th/0406132,10.1590/s0103-97332007000300011
10.48550/arxiv.1710.01717,10.1103/physrevc.97.061901
10.48550/arxiv.2209.04259,10.1109/icmla55696.2022.00194
10.48550/arxiv.1403.3123,10.1088/0004-637x/791/1/71
10.48550/arxiv.1708.09620,10.1088/1361-6382/aacd9d
10.48550/arxiv.astro-ph/0106494,
10.48550/arxiv.1702.01128,10.1063/1.5007370
10.48550/arxiv.0907.0892,10.1088/0004-637x/702/2/890
10.48550/arxiv.cond-mat/0609421,10.1209/0295-5075/78/50002
10.48550/arxiv.1905.10957,
10.48550/arxiv.1608.08303,10.1088/1751-8113/49/43/435301
10.48550/arxiv.cond-mat/0608119,10.1103/physrevb.75.045134
10.48550/arxiv.quant-ph/0501125,10.1103/physreva.71.064302
10.48550/arxiv.2104.02546,10.1007/jhep08(2021)067
10.48550/arxiv.2008.04195,10.1109/tsp.2021.3062553
10.48550/arxiv.1511.01571,10.4204/eptcs.195.12
10.48550/arxiv.hep-th/9607099,10.1016/s0550-3213(97)00022-9
10.48550/arxiv.1901.03241,10.1063/1.4999687
10.48550/arxiv.0908.1442,10.1088/0954-3899/37/1/015005
10.48550/arxiv.physics/0304064,10.1016/j.physleta.2003.08.012
10.48550/arxiv.1604.04368,10.15672/hjms.20164517212
10.48550/arxiv.1904.01302,10.22323/1.347.0164
10.48550/arxiv.2206.15024,10.1038/s41467-023-38440-6
10.48550/arxiv.1907.10530,10.2140/akt.2020.5.539
10.48550/arxiv.1908.02989,10.1016/j.jde.2019.12.009
10.48550/arxiv.1605.01342,10.1007/s10714-017-2317-5
10.48550/arxiv.hep-th/0302137,10.1088/0264-9381/20/18/309
10.48550/arxiv.1208.5091,10.1103/physrevlett.110.113605
10.48550/arxiv.2302.03602,10.1038/s42256-022-00590-5
10.48550/arxiv.1603.07666,10.1103/physreva.93.062334
10.48550/arxiv.hep-lat/0107003,10.1103/physrevd.65.014508
10.48550/arxiv.1603.07373,10.1016/j.anucene.2016.06.017
10.48550/arxiv.2310.12381,10.1109/globecom54140.2023.10437245
10.48550/arxiv.math-ph/0610031,10.1007/s00220-007-0263-x
10.48550/arxiv.hep-th/9908201,10.1088/1126-6708/1999/11/012
10.48550/arxiv.2501.05146,10.1038/s41598-025-86302-6
10.48550/arxiv.1910.06274,10.1093/mnras/staa1530
10.48550/arxiv.1805.09192,10.2466/04.22.23.27.pms.111.6.829-847
10.48550/arxiv.1705.00134,10.1007/s10801-018-0817-3
10.48550/arxiv.hep-ph/0006025,10.1016/s0920-5632(00)00839-2
10.48550/arxiv.2103.10376,10.1051/0004-6361/202140411
10.48550/arxiv.hep-ph/0210045,10.1103/physrevd.67.054017
10.48550/arxiv.0806.3747,10.1093/pasj/60.5.1133
10.48550/arxiv.astro-ph/0202512,10.1006/jcph.2002.7026
10.48550/arxiv.1603.09068,10.1007/s00029-017-0348-0
10.48550/arxiv.1612.02995,10.1051/0004-6361/201630135
10.48550/arxiv.1312.1352,10.1088/0004-6256/147/2/36
10.48550/arxiv.astro-ph/9712082,10.1063/1.55371
10.48550/arxiv.1803.02416,10.1103/physrevc.98.061902
10.48550/arxiv.1801.08210,10.1103/physreve.97.042311
10.48550/arxiv.1604.02547,10.1017/s0017089518000150
10.48550/arxiv.1910.03488,10.1088/1475-7516/2019/12/021
10.48550/arxiv.2503.04008,10.1109/tse.2025.3533549
10.48550/arxiv.2105.01210,10.1021/acs.chemmater.1c00267
10.48550/arxiv.2109.11921,10.1016/j.jss.2021.111097
10.48550/arxiv.hep-ph/9308226,
10.48550/arxiv.2003.02203,10.1103/physrevmaterials.4.094201
10.48550/arxiv.1007.4940,10.1103/physrevstab.13.114001
10.48550/arxiv.1611.04589,10.1093/mnras/stx560
10.48550/arxiv.2105.00837,10.1063/5.0035830
10.48550/arxiv.cond-mat/0002016,10.1103/physrevlett.85.1064
10.48550/arxiv.2208.14587,10.5070/c63362789
10.48550/arxiv.2205.01459,10.1002/prop.202200078
10.48550/arxiv.2004.05502,10.1109/qomex48832.2020.9123093
10.48550/arxiv.1111.5921,10.1103/physrevd.85.014019
10.48550/arxiv.hep-th/9205107,10.1016/0370-2693(92)91949-a
10.48550/arxiv.hep-ph/9907286,10.1103/physrevc.61.054906
10.48550/arxiv.1403.2417,10.1088/0953-8984/28/2/025102
10.48550/arxiv.hep-ph/0008236,10.1016/s0920-5632(00)01099-9
10.48550/arxiv.1605.09768,10.1016/j.physletb.2017.01.061
10.48550/arxiv.1708.06131,10.1007/978-3-642-40994-3_25
10.48550/arxiv.cond-mat/0508140,10.1063/1.2108118
10.48550/arxiv.1404.6404,10.1103/physreva.90.063801
10.48550/arxiv.0712.3472,10.1103/physreva.78.013607
10.48550/arxiv.cond-mat/0607825,10.1088/0953-8984/19/6/065126
10.48550/arxiv.1607.02293,10.1103/physreva.93.013806
10.48550/arxiv.1403.5055,10.1103/physrevd.89.103524
10.48550/arxiv.2107.14628,10.1093/mnras/stab2115
10.48550/arxiv.1910.02702,10.1007/978-3-030-33391-1_1
10.48550/arxiv.2012.11897,10.1515/forum-2020-0354
10.48550/arxiv.0906.1801,10.1103/physrevlett.103.065301
10.48550/arxiv.2102.02401,10.1038/s41524-021-00639-w
10.48550/arxiv.2010.14871,10.1007/s00023-021-01038-z
10.48550/arxiv.2012.05092,10.1142/s0218301321500191
10.48550/arxiv.1702.07377,10.1051/0004-6361/201629675
10.48550/arxiv.2312.10292,10.1016/j.nuclphysb.2024.116514
10.48550/arxiv.2109.08720,10.3389/fnano.2021.779070
10.48550/arxiv.1011.5791,10.1093/imrn/rnr047
10.48550/arxiv.1409.1363,10.1140/epjc/s10052-014-3218-3
10.48550/arxiv.hep-th/0508038,10.1103/physrevd.73.044012
10.48550/arxiv.2006.16563,10.3847/1538-4357/abf096
10.48550/arxiv.1805.00669,10.1109/eeeic.2018.8494530
10.48550/arxiv.1902.04587,10.1093/pasj/psz022
10.48550/arxiv.1604.04431,10.1063/1.4900624
10.48550/arxiv.2203.10114,10.1175/aies-d-22-0043.1
10.48550/arxiv.2103.02039,10.1016/j.matdes.2021.109969
10.48550/arxiv.hep-ph/9709306,10.1103/physrevd.57.6799
10.48550/arxiv.1503.05100,10.1088/0004-637x/805/1/50
10.48550/arxiv.astro-ph/0508682,10.1051/0004-6361:20053242
10.48550/arxiv.1810.01725,10.1140/epjb/e2018-90161-2
10.48550/arxiv.nlin/0601043,10.1063/1.2189157
10.48550/arxiv.2402.12658,10.1109/oceanslimerick52467.2023.10244447
10.48550/arxiv.2202.13814,10.4171/dm/936
10.48550/arxiv.2208.11029,10.1002/aelm.202300400
10.48550/arxiv.0907.2437,10.1088/1126-6708/2009/11/092
10.48550/arxiv.2306.02559,10.1142/s0218195923500048
10.48550/arxiv.1211.6812,10.1088/1742-6596/454/1/012054
10.48550/arxiv.2103.14440,10.1007/s12043-023-02683-1
10.48550/arxiv.2307.15108,10.3847/1538-4357/ad02fc
10.48550/arxiv.1211.4643,10.1364/ol.38.000468
10.48550/arxiv.0705.1924,10.1103/physrevd.76.034503
10.48550/arxiv.1801.01314,
10.48550/arxiv.2108.11986,10.1007/978-3-658-36295-9_5
10.48550/arxiv.1708.03718,10.1137/17m1143344
10.48550/arxiv.cond-mat/0007392,10.1103/physrevlett.86.364
10.48550/arxiv.1907.01593,10.1007/978-3-030-32245-8_49
10.48550/arxiv.2106.12106,10.1364/oe.443067
10.48550/arxiv.1904.01733,10.1103/physrevlett.123.116104
10.48550/arxiv.0804.3743,10.1111/j.1365-2966.2008.13738.x
10.48550/arxiv.2207.07342,10.35848/1882-0786/aca642
10.48550/arxiv.1505.07975,10.1103/physreva.92.053602
10.48550/arxiv.1401.6348,10.7321/jscse.v2.n8.1
10.48550/arxiv.1509.03968,10.1103/physrevlett.116.120401
10.48550/arxiv.1612.06962,10.1016/j.tcs.2017.10.012
10.48550/arxiv.1303.6354,10.1103/physrevd.87.105004
10.48550/arxiv.2112.06919,10.1021/acs.jpcc.1c10466
10.48550/arxiv.math/0012059,
10.48550/arxiv.2109.03550,10.1007/978-3-030-85521-5_31
10.48550/arxiv.2305.01603,10.1007/bf00757366
10.48550/arxiv.nucl-th/0202031,10.1103/physrevc.65.044301
10.48550/arxiv.2103.15180,10.1109/tse.2020.3021380
10.48550/arxiv.2303.04767,10.3847/1538-4357/ace599
10.48550/arxiv.2111.13446,10.1088/1361-6420/ac637a
10.48550/arxiv.hep-ph/0202219,10.1103/physrevd.65.115009
10.48550/arxiv.1601.03819,10.1103/physrevd.93.112003
10.48550/arxiv.0804.0894,10.1016/j.physc.2008.06.009
10.48550/arxiv.2008.05422,10.1007/s40315-015-0125-z
10.48550/arxiv.1709.05559,10.1109/tasl.2013.2243435
10.48550/arxiv.0807.1383,10.1088/0143-0807/29/5/015
10.48550/arxiv.1504.03318,10.1016/j.physc.2015.03.002
10.48550/arxiv.1903.05412,10.1051/0004-6361/201834932
10.48550/arxiv.0709.2964,10.1016/j.fluiddyn.2007.12.002
10.48550/arxiv.2004.03814,10.1145/3542700.3542703
10.48550/arxiv.0908.1176,10.1051/0004-6361/200912547
10.48550/arxiv.hep-ph/0607272,10.1103/physrevd.74.093001
10.48550/arxiv.astro-ph/0512373,10.1086/500411
10.48550/arxiv.1202.0714,
10.48550/arxiv.1911.04650,10.1145/3358960.3379141
10.48550/arxiv.1710.02337,10.1088/2040-8986/aa7b0d
10.48550/arxiv.1012.4140,10.1214/12-aap895
10.48550/arxiv.hep-ph/0509307,10.1103/physrevd.72.054021
10.48550/arxiv.1911.08464,10.1103/physrevb.101.165110
10.48550/arxiv.astro-ph/0306612,10.1086/376893
10.48550/arxiv.hep-th/0104224,10.1142/s0217732301005345
10.48550/arxiv.1005.4744,10.1016/j.chemphys.2010.06.009
10.48550/arxiv.1211.4506,10.1016/j.physletb.2013.01.047
10.48550/arxiv.1310.4207,10.1093/mnras/stt1798
10.48550/arxiv.1603.00546,10.1117/12.2216509
10.48550/arxiv.cond-mat/0602276,10.1140/epjb/e2006-00377-4
10.48550/arxiv.1511.04857,10.1103/revmodphys.89.015002
10.48550/arxiv.physics/0410168,10.1063/1.1753575
10.48550/arxiv.cond-mat/0504031,10.1063/1.1903923
10.48550/arxiv.1006.1817,10.1146/annurev-fluid-122109-160748
10.48550/arxiv.1605.07848,10.1016/s0034-4877(17)30022-8
10.48550/arxiv.astro-ph/0606076,10.1086/508457
10.48550/arxiv.2207.04390,10.1038/s41467-018-05433-9
10.48550/arxiv.1512.03562,10.1093/mnras/stw1788
10.48550/arxiv.astro-ph/0011340,10.1046/j.1365-8711.2001.04282.x
10.48550/arxiv.1605.02719,10.1103/physrevd.93.112003
10.48550/arxiv.0902.2442,10.1051/0004-6361/200811083
10.48550/arxiv.physics/0409133,10.1175/jcli-3279.1
10.48550/arxiv.0910.5918,10.1103/physreve.81.040101
10.48550/arxiv.1810.04377,10.1007/s11704-018-7195-8
10.48550/arxiv.1907.02845,10.1063/1.5117288
10.48550/arxiv.math/0611496,10.1088/0951-7715/19/12/010
10.48550/arxiv.1706.09213,10.1103/physrevb.96.224404
10.48550/arxiv.2103.02281,10.1007/s10107-021-01736-w
10.48550/arxiv.0901.3590,10.1109/tpami.2010.47
10.48550/arxiv.1206.3412,10.1093/mnras/stu179
10.48550/arxiv.1907.11101,10.1088/1475-7516/2019/12/034
10.48550/arxiv.2312.09677,10.4153/s0008414x25000148
10.48550/arxiv.2305.05142,10.23919/wiopt58741.2023.10349843
10.48550/arxiv.1007.4259,10.3150/13-bej514
10.48550/arxiv.2111.15402,10.1051/epjconf/202225801006
10.48550/arxiv.2111.08119,10.1088/1475-7516/2022/01/059
10.48550/arxiv.1911.06745,10.1103/physrevd.101.032006
10.48550/arxiv.1406.5519,10.1016/j.geomphys.2014.11.009
10.48550/arxiv.1308.1296,10.1093/mnras/stt1477
10.48550/arxiv.1802.00205,10.1209/0295-5075/121/38006
10.48550/arxiv.1601.04041,10.1109/cdc.2015.7402640
10.48550/arxiv.2207.09214,10.1103/physrevd.106.042007
10.48550/arxiv.1807.11213,10.1093/ptep/ptx192
10.48550/arxiv.cond-mat/0612240,
10.48550/arxiv.astro-ph/0501379,10.1111/j.1365-2966.2005.08779.x
10.48550/arxiv.1106.1668,10.1007/s00220-012-1529-5
10.48550/arxiv.1505.05695,10.1007/978-3-319-22416-9_4
10.48550/arxiv.math/0702394,10.1515/forum.2009.031
10.48550/arxiv.2311.03296,10.1051/0004-6361/202348635
10.48550/arxiv.0710.1974,10.1103/physrevb.76.224430
10.48550/arxiv.0807.2223,10.1103/physrevlett.101.207004
10.48550/arxiv.astro-ph/0506404,10.1142/s0217732306018093
10.48550/arxiv.cond-mat/0107141,10.1103/physreve.64.061902
10.48550/arxiv.2303.13542,10.1134/s1995080222150136
10.48550/arxiv.1708.06628,10.1103/physreva.96.032108
10.48550/arxiv.1508.03576,10.3847/0004-637x/825/2/105
10.48550/arxiv.1811.11916,10.1088/1361-6668/ab0d63
10.48550/arxiv.1604.06817,10.1063/1.4944924
10.48550/arxiv.cond-mat/0404689,10.1103/physrevlett.93.178301
10.48550/arxiv.cond-mat/9712278,10.1016/s0920-5632(97)00851-7
10.48550/arxiv.2503.04224,10.1109/tevc.2025.3538902
10.48550/arxiv.astro-ph/0408386,10.1086/424794
10.48550/arxiv.1406.0146,10.1103/physreve.90.062805
10.48550/arxiv.2210.09282,10.1016/j.aop.2023.169286
10.48550/arxiv.1905.11486,10.1016/j.trc.2019.09.018
10.48550/arxiv.2205.15817,10.1109/jstqe.2022.3177385
10.48550/arxiv.astro-ph/9905375,10.1046/j.1365-8711.1999.02704.x
10.48550/arxiv.2308.02812,10.1515/itit-2023-0029
