input_doi,matched_doi
10.48550/arxiv.2107.10499,10.1088/0256-307x/39/1/011201
10.48550/arxiv.2107.11288,10.1145/3450550.3465349
10.48550/arxiv.1201.2409,10.1051/0004-6361/201117632
10.48550/arxiv.astro-ph/9806240,10.1063/1.58618
10.48550/arxiv.1706.00541,10.1103/physreva.96.042333
10.48550/arxiv.nucl-th/0207042,10.1016/s0375-9474(02)01501-4
10.48550/arxiv.1401.1645,10.1007/jhep07(2014)105
10.48550/arxiv.0708.3909,10.1103/physreva.77.012113
10.48550/arxiv.astro-ph/0108336,10.1086/324291
10.48550/arxiv.1209.1676,10.1007/s00209-015-1585-6
10.48550/arxiv.1901.11217,10.1093/mnras/stz335
10.48550/arxiv.1409.6615,10.1103/physrevb.93.060503
10.48550/arxiv.1010.3147,10.1090/s0002-9939-2013-11582-0
10.48550/arxiv.1610.04436,10.1016/j.chemphys.2016.10.003
10.48550/arxiv.1704.06237,10.1103/physrevb.96.035134
10.48550/arxiv.1705.05664,10.1007/s13366-019-00456-9
10.48550/arxiv.hep-th/0112050,10.1016/s0370-2693(02)01251-0
10.48550/arxiv.astro-ph/9802242,10.1086/305746
10.48550/arxiv.math-ph/0006013,10.1063/1.1322076
10.48550/arxiv.2309.02095,10.1088/1361-648x/ad1a59
10.48550/arxiv.1805.09643,10.1088/1361-6552/aabca7
10.48550/arxiv.0907.3847,10.1088/1748-0221/4/11/p11019
10.48550/arxiv.1504.00207,10.1016/j.nuclphysb.2015.07.008
10.48550/arxiv.cond-mat/0501717,10.1103/physreve.72.016115
10.48550/arxiv.1001.4009,10.1111/j.1365-2966.2010.16400.x
10.48550/arxiv.hep-ph/0012309,10.1103/physrevd.63.112002
10.48550/arxiv.1603.03423,10.1103/physrevd.93.104026
10.48550/arxiv.1703.05554,10.1103/physreva.95.052331
10.48550/arxiv.1202.1375,10.1111/j.1365-2966.2012.20693.x
10.48550/arxiv.1011.0776,10.1111/j.1365-2966.2011.19245.x
10.48550/arxiv.2102.12826,10.1103/physrevd.105.076005
10.48550/arxiv.1004.5179,10.1109/tc.2010.226
10.48550/arxiv.1709.07128,10.1007/s40879-018-0266-5
10.48550/arxiv.2109.07237,10.1007/jhep12(2021)127
10.48550/arxiv.physics/0011023,10.1103/physreve.68.036703
10.48550/arxiv.1411.3328,10.1088/1475-7516/2015/03/050
10.48550/arxiv.0704.3559,10.1088/1126-6708/2007/07/067
10.48550/arxiv.0712.1995,10.1007/s12036-008-0026-x
10.48550/arxiv.1507.05965,10.1007/jhep04(2016)100
10.48550/arxiv.2309.15897,10.1103/physrevd.111.025013
10.48550/arxiv.1703.01297,10.1103/physreve.96.012709
10.48550/arxiv.2401.11637,10.1142/s0217751x24460011
10.48550/arxiv.cond-mat/9507127,10.1016/0378-4371(95)00374-6
10.48550/arxiv.1203.6052,10.1007/978-1-4614-3323-1_18
10.48550/arxiv.2110.12537,10.1007/jhep01(2022)006
10.48550/arxiv.hep-ph/9903470,10.1016/s0550-3213(99)00413-7
10.48550/arxiv.1402.0407,10.1088/2041-8205/783/1/l23
10.48550/arxiv.1305.4155,10.1140/epjc/s10052-013-2567-7
10.48550/arxiv.1605.08631,10.1051/0004-6361/201527968
10.48550/arxiv.2211.16135,10.1145/3569464
10.48550/arxiv.1708.05956,10.21437/interspeech.2017-1326
10.48550/arxiv.1609.03408,10.1140/epja/i2017-12303-9
10.48550/arxiv.hep-th/0408214,10.1103/physrevd.70.096004
