input_doi,matched_doi,confidence
10.48550/arxiv.2202.11675,10.1103/physrevd.107.043006,1.0000
10.48550/arxiv.hep-th/0404236,10.1103/physrevd.70.044034,1.0000
10.48550/arxiv.cond-mat/0402234,,
10.48550/arxiv.1910.11173,10.1007/978-3-030-17593-1_2,1.0000
10.48550/arxiv.2103.07860,10.3847/2041-8213/abee92,1.0000
10.48550/arxiv.1906.09704,10.1515/fca-2020-0034,1.0000
10.48550/arxiv.1308.4573,,
10.48550/arxiv.q-bio/0502013,10.1103/physreve.72.016123,0.9305
10.48550/arxiv.1406.0511,10.1093/mnrasl/slu155,1.0000
10.48550/arxiv.2212.04653,10.1093/mnras/stad442,1.0000
10.48550/arxiv.1810.01451,10.1103/physrevb.99.165140,0.9968
10.48550/arxiv.1904.11847,10.1039/c9fd00050j,1.0000
10.48550/arxiv.cs/0601102,10.1109/tit.2006.871581,1.0000
10.48550/arxiv.1403.5136,10.1063/1.4891979,1.0000
10.48550/arxiv.1703.01629,10.1140/epjd/e2018-80684-y,1.0000
10.48550/arxiv.0801.2157,10.1088/1126-6708/2008/02/059,1.0000
10.48550/arxiv.1701.02170,10.1070/sm8756,0.9867
10.48550/arxiv.1304.2589,10.1140/epja/i2013-13079-6,0.9551
10.48550/arxiv.2012.12233,10.1103/physrevx.11.021035,0.8648
10.48550/arxiv.2406.04080,10.1116/5.0210068,1.0000
10.48550/arxiv.1404.5865,10.1007/jhep06(2014)022,0.9454
10.48550/arxiv.0808.0071,10.1063/1.2965031,0.8025
10.48550/arxiv.1809.03197,10.21468/scipostphys.6.2.023,1.0000
10.48550/arxiv.1908.06221,10.1093/mnras/stz2299,1.0000
10.48550/arxiv.gr-qc/0202086,10.1103/physrevd.67.024025,1.0000
10.48550/arxiv.2307.10029,10.1093/mnras/stad2111,1.0000
10.48550/arxiv.1307.2460,10.1063/1.4821616,1.0000
10.48550/arxiv.2307.00880,10.1109/tip.2023.3270103,1.0000
10.48550/arxiv.1604.05457,10.1103/physreva.93.063616,1.0000
10.48550/arxiv.0706.0393,10.1529/biophysj.107.112417,1.0000
10.48550/arxiv.2104.12868,10.3233/idt-200220,0.9891
10.48550/arxiv.2410.23264,10.1103/physrevd.111.l081304,1.0000
10.48550/arxiv.1910.12620,10.23919/eusipco47968.2020.9287606,1.0000
10.48550/arxiv.0902.0008,10.1088/1475-7516/2009/09/029,1.0000
10.48550/arxiv.cond-mat/0212096,10.1103/physrevb.68.014507,0.9973
10.48550/arxiv.hep-lat/0209023,10.1016/s0920-5632(03)01579-2,1.0000
10.48550/arxiv.cond-mat/0311022,10.1103/physrevlett.92.056802,1.0000
10.48550/arxiv.astro-ph/0209460,10.1086/344588,1.0000
10.48550/arxiv.1902.05559,10.1007/jhep08(2019)029,1.0000
10.48550/arxiv.2302.10696,10.1051/0004-6361/202245477,1.0000
10.48550/arxiv.1912.09725,10.1007/s40879-019-00376-x,1.0000
